#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-03-26T06:41:53 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-03-26T06:41:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=II/346/jsdc_v2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=II/346/jsdc_v2&-out=Dis&-out=Name&-out=SpType&-out=Bmag&-out=Vmag&Vmag=&lt;5.0&-out=Rmag&-out=Imag&-out=Jmag&-out=Hmag&-out=Kmag&-out=Lmag&-out=Mmag&-out=Nmag&-out=LDD&LDD=&gt;0.1&-out=e_LDD&-out=LDDCHI&-out=CalFlag&-out=UDDB&-out=UDDV&-out=UDDR&-out=UDDI&-out=UDDJ&-out=UDDH&-out=UDDK&-out=UDDL&-out=UDDM&-out=UDDN&-out=Simbad&-out=RAJ2000&-out=DEJ2000&DEJ2000=&gt;20&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_2346
#Name: II/346
#Title: JMMC Stellar Diameters Catalogue - JSDC. Version 2 (Bourges+, 2017)
#INFO	ivoid=ivo://cds.vizier/ii/346	    IVOID of underlying data collection
#INFO	creator=Bourges L.	    First author or institution
#INFO	cites=bibcode:2014ASPC..485..223B	    Article or Data origin sources
#INFO	original_date=2014	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/II/346	    Dataset landing page
#INFO	publication_date=2017-05-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	II_346_jsdc_v2:
#Name: II/346/jsdc_v2
#Title: Stellar diameters catalogue, version 2
#Column	Dis	(I3)	indicates differences between JSDC V1 and V2	[ucd=meta.note]
#Column	Name	(a33)	Normalised star name (preferably HD)	[ucd=meta.id;meta.main]
#Column	SpType	(a20)	Spectral Type from Simbad	[ucd=src.spType]
#Column	Bmag	(F7.3)	? B magnitude (Cat. I/259)	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F7.3)	? V magnitude (Cat. I/259)	[ucd=phot.mag;em.opt.V]
#Column	Rmag	(F10.6)	? R magnitude (estimated)	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F10.6)	? I magnitude (estimated)	[ucd=phot.mag;em.opt.I]
#Column	Jmag	(F7.3)	? J magnitude (Cat. II/246)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.3)	? H magnitude (Cat. II/246)	[ucd=phot.mag;em.IR.H]
#Column	Kmag	(F7.3)	? K magnitude (Cat. II/246)	[ucd=phot.mag;em.IR.K]
#Column	Lmag	(F7.3)	? L magnitude (Cat. II/311/wise W1mag)	[ucd=phot.mag;em.IR.3-4um]
#Column	Mmag	(F6.3)	? M magnitude (Cat. II/311/wise W2mag)	[ucd=phot.mag;em.IR.4-8um]
#Column	Nmag	(F10.6)	? N magnitude (Cat. II/311/wise W3mag)	[ucd=phot.mag;em.IR.8-15um]
#Column	LDD	(F9.6)	? Limb-Darkened Disk diameter	[ucd=phys.angSize]
#Column	e_LDD	(F9.6)	? Error on LDD (and all UDDs) (1)	[ucd=stat.error]
#Column	LDDCHI	(D12.5)	Chi2 of LDD fitting (2)	[ucd=stat.fit.chi2]
#Column	CalFlag	(I1)	[0/7] Confidence flags for using this star as a calibrator in Optical Interferometry experiments (3)	[ucd=meta.code]
#Column	UDDB	(F10.6)	? Uniform Disk Diameter in band B (4)	[ucd=phys.angSize;em.opt.B]
#Column	UDDV	(F10.6)	? Uniform Disk Diameter in band V (4)	[ucd=phys.angSize;em.opt.V]
#Column	UDDR	(F10.6)	? Uniform Disk Diameter in band R (4)	[ucd=phys.angSize;em.opt.R]
#Column	UDDI	(F10.6)	? Uniform Disk Diameter in band I (4)	[ucd=phys.angSize;em.opt.I]
#Column	UDDJ	(F10.6)	? Uniform Disk Diameter in band J (4)	[ucd=phys.angSize;em.IR.J]
#Column	UDDH	(F10.6)	? Uniform Disk Diameter in band H (4)	[ucd=phys.angSize;em.IR.H]
#Column	UDDK	(F10.6)	? Uniform Disk Diameter in band K (4)	[ucd=phys.angSize;em.IR.K]
#Column	UDDL	(F10.6)	? Uniform Disk Diameter in band L (4)	[ucd=phys.angSize;em.IR.3-4um]
#Column	UDDM	(F10.6)	? Uniform Disk Diameter in band M (4)	[ucd=phys.angSize;em.IR.4-8um]
#Column	UDDN	(F10.6)	? Uniform Disk Diameter in band N (4	[ucd=phys.angSize;em.IR.8-15um]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	RAJ2000	(A14)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A14)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
Dis	Name	SpType	Bmag	Vmag	Rmag	Imag	Jmag	Hmag	Kmag	Lmag	Mmag	Nmag	LDD	e_LDD	LDDCHI	CalFlag	UDDB	UDDV	UDDR	UDDI	UDDJ	UDDH	UDDK	UDDL	UDDM	UDDN	Simbad	RAJ2000	DEJ2000
  0	* nu. Cas                        	B9III               	  4.809	  4.900	  4.946101	  5.082780	  5.081	  5.148	  5.144	  5.211	 5.045	  5.194000	 0.284737	 0.008054	 3.98736e-01	0	  0.271715	  0.273626	  0.276083	  0.278058	  0.280048	  0.281157	  0.281729	  0.283115	  0.283516	  0.283947	Simbad	00 48 50.02189	+50 58 05.4018
  0	* nu. And                        	B5V                 	  4.394	  4.530	  3.882935	  4.916982	  5.108	  4.892	  4.890	  4.968	 4.737	  5.036000	 0.255974	 0.022967	 3.16800e-01	4	  0.247251	  0.248541	  0.250154	  0.251411	  0.252749	  0.253491	  0.253885	  0.254845	  0.255108	  0.255316	Simbad	00 49 48.84737	+41 04 44.0764
  0	HR   244                         	F9V                 	  5.340	  4.800	  4.376799	  4.137598	  3.936	  3.681	  3.638	  3.474	 3.183	  3.497000	 0.784865	 0.067409	 1.42054e-03	4	  0.726655	  0.739606	  0.747454	  0.755190	  0.767224	  0.767224	  0.770109	  0.776306	  0.777883	  0.780928	Simbad	00 53 04.19602	+61 07 26.2945
  0	* ups01 Cas                      	K2III               	  6.046	  4.830	  3.879163	  3.205159	  2.521	  1.946	  1.763	       	      	  2.078000	 2.319865	 0.159151	 8.45996e-03	0	  2.108913	  2.152119	  2.180784	  2.210378	  2.255192	  2.255192	  2.266195	  2.286820	  2.295242	  2.305185	Simbad	00 55 00.15523	+58 58 21.7108
  0	* ups02 Cas                      	G8.5IIIbFe-0.5      	  5.577	  4.620	  3.822190	  3.449268	  3.123	  2.680	  2.468	       	      	  2.363000	 1.480007	 0.138986	 3.04684e-02	0	  1.355788	  1.382205	  1.398851	  1.415468	  1.441974	  1.441974	  1.448222	  1.460802	  1.465317	  1.471415	Simbad	00 56 39.90501	+59 10 51.7991
  0	* mu. And                        	A5V                 	  3.990	  3.860	  3.743027	  3.741386	  3.621	  3.652	  3.636	  3.476	 3.171	  3.502000	 0.677824	 0.059285	 4.81616e-02	0	  0.638210	  0.643468	  0.651477	  0.657403	  0.663583	  0.667042	  0.668563	  0.672721	  0.673986	  0.675321	Simbad	00 56 45.21211	+38 29 57.6380
  0	* eta And                        	G8IV+G8IV-III       	  5.340	  4.400	  3.625195	  3.242429	  2.837	  2.399	  2.254	       	      	  2.290000	 1.664217	 0.158423	 3.90338e-03	6	  1.525056	  1.554708	  1.573341	  1.591930	  1.621629	  1.621629	  1.628599	  1.642712	  1.647750	  1.654596	Simbad	00 57 12.40018	+23 25 03.5356
  0	HR   285                         	K2III               	  5.453	  4.240	  3.387809	  2.815924	  2.355	  1.887	  1.656	       	      	  1.554000	 2.318871	 0.244441	 2.10147e-02	0	  2.108009	  2.151197	  2.179849	  2.209431	  2.254226	  2.254226	  2.265224	  2.285841	  2.294258	  2.304198	Simbad	01 08 44.88005	+86 15 25.5240
  0	* bet And                        	M0III               	  3.646	  2.070	  0.744035	 -0.180068	 -0.957	 -1.674	 -1.846	       	      	 -1.511000	14.235569	 1.004059	 4.29570e-03	0	 13.344861	 13.428741	 13.510587	 13.669301	 13.923357	 13.923357	 13.993570	 14.079984	 14.104802	 14.148499	Simbad	01 09 43.92388	+35 37 14.0075
  0	* tet Cas                        	A7V                 	  4.510	  4.340	  2.987733	  4.334864	  4.449	  4.277	  4.128	  3.924	 3.598	  3.954000	 0.510043	 0.067243	 5.86263e-02	0	  0.479884	  0.484248	  0.489954	  0.494142	  0.498901	  0.501534	  0.502628	  0.505752	  0.506656	  0.508001	Simbad	01 11 06.16225	+55 08 59.6472
  0	* chi Psc                        	G8.5III             	  5.684	  4.660	  3.874011	  3.463811	  3.074	  2.513	  2.481	       	      	  2.414000	 1.543364	 0.131183	 2.15196e-02	0	  1.413827	  1.441375	  1.458734	  1.476061	  1.503703	  1.503703	  1.510218	  1.523336	  1.528044	  1.534404	Simbad	01 11 27.21877	+21 02 04.7406
  0	* tau Psc                        	K0.5IIIb            	  5.602	  4.510	  3.692286	  3.220060	  2.788	  2.261	  2.148	       	      	  2.091000	 1.833220	 0.147652	 1.64818e-04	0	  1.670746	  1.704139	  1.726269	  1.748709	  1.783357	  1.783357	  1.791729	  1.807802	  1.814141	  1.821900	Simbad	01 11 39.63647	+30 05 22.6909
  0	* phi Psc                        	K0III               	  5.717	  4.670	  3.821967	  3.383644	  2.911	  2.434	  2.376	       	      	  2.345000	 1.675763	 0.171275	 1.50878e-02	0	  1.532003	  1.562053	  1.581488	  1.600958	  1.631650	  1.631650	  1.638966	  1.653394	  1.658788	  1.665771	Simbad	01 13 44.94635	+24 35 01.3590
  0	* ups Psc                        	A3V                 	  4.772	  4.740	  4.385432	  4.788382	  4.854	  4.599	  4.536	  4.550	 4.455	  4.614000	 0.405096	 0.044194	 1.00296e-01	0	  0.382520	  0.385668	  0.390410	  0.393851	  0.397265	  0.399189	  0.400001	  0.402309	  0.402978	  0.403698	Simbad	01 19 27.99289	+27 15 50.6155
  0	* phi Cas                        	F0Ia                	  5.633	  4.950	  4.176796	  3.955060	  3.751	  3.537	  3.186	       	      	  2.806000	 0.877806	 0.087437	 1.21203e-01	0	  0.821244	  0.832153	  0.840538	  0.849407	  0.861433	  0.861433	  0.863716	  0.870074	  0.871364	  0.874057	Simbad	01 20 04.91702	+58 13 53.8043
  0	* ksi And                        	K0-IIIb             	  5.947	  4.870	  4.008055	  3.627935	  3.249	  2.732	  2.554	       	      	  2.501000	 1.472077	 0.137277	 1.66743e-02	0	  1.345791	  1.372189	  1.389261	  1.406364	  1.433326	  1.433326	  1.439753	  1.452427	  1.457165	  1.463299	Simbad	01 22 20.41924	+45 31 43.6003
  0	* del Cas                        	A5IV                	  2.820	  2.660	  2.517870	  2.473918	  2.336	  2.367	  2.245	       	      	  2.378000	 1.262925	 0.120786	 2.30093e-02	4	  1.189116	  1.198913	  1.213836	  1.224876	  1.236391	  1.242836	  1.245671	  1.253417	  1.255775	  1.258262	Simbad	01 25 48.95147	+60 14 07.0225
  0	* psi Cas                        	K0III               	  5.767	  4.720	  3.814618	  3.483031	  3.074	  2.567	  2.324	       	      	  2.649675	 1.614764	 0.141326	 5.54586e-02	0	  1.476237	  1.505194	  1.523921	  1.542682	  1.572257	  1.572257	  1.579307	  1.593210	  1.598407	  1.605135	Simbad	01 25 56.02238	+68 07 48.0460
  0	* ome And                        	F4IV                	  5.251	  4.830	  4.456687	  4.324950	  4.170	  3.995	  3.926	  3.761	 3.463	  3.749000	 0.652379	 0.064828	 9.65380e-04	0	  0.607813	  0.617161	  0.623507	  0.629919	  0.639232	  0.639232	  0.641254	  0.646173	  0.647242	  0.649436	Simbad	01 27 39.38177	+45 24 24.0727
  0	* chi Cas                        	G9IIIb              	  5.671	  4.680	  3.799144	  3.437539	  3.019	  2.481	  2.311	       	      	  2.368000	 1.635370	 0.121429	 3.28863e-02	0	  1.497310	  1.526545	  1.545106	  1.563612	  1.593084	  1.593084	  1.600055	  1.613993	  1.619047	  1.625805	Simbad	01 33 55.87701	+59 13 55.3528
  0	HD9826                           	F9V                 	  4.636	  4.100	  3.640000	  3.350000	  3.175	  2.957	  2.859	  2.790	 2.835	  2.853000	 1.117516	 0.103070	 2.56650e-03	4	  1.034636	  1.053075	  1.064250	  1.075265	  1.092399	  1.092399	  1.096507	  1.105330	  1.107575	  1.111912	Simbad	01 36 47.84220	+41 24 19.6440
  0	* ups Per                        	K3-III              	  4.865	  3.590	  2.635058	  2.001832	  1.420	  0.741	  0.649	       	      	  0.732000	 3.930584	 0.321604	 1.48514e-02	0	  3.564500	  3.639181	  3.689068	  3.740936	  3.818295	  3.818295	  3.837644	  3.873171	  3.888037	  3.905011	Simbad	01 37 59.55699	+48 37 41.5695
  0	* tau And                        	B5III               	  4.892	  4.960	  4.951932	  5.099149	  5.053	  5.135	  5.112	  5.132	 4.980	  5.193000	 0.246347	 0.007644	 6.56190e-02	0	  0.237952	  0.239194	  0.240746	  0.241955	  0.243244	  0.243958	  0.244337	  0.245261	  0.245514	  0.245714	Simbad	01 40 34.81645	+40 34 37.3742
  0	HD  10307                        	G1.5V               	  5.578	  4.960	  4.243957	  4.219268	  4.000	  3.703	  3.577	  3.489	 3.189	  3.469000	 0.810296	 0.085035	 1.10144e-02	4	  0.748080	  0.761830	  0.770158	  0.778313	  0.791352	  0.791352	  0.794400	  0.800958	  0.802837	  0.806061	Simbad	01 41 47.14316	+42 36 48.1227
  0	* alf Tri                        	F5III               	  3.908	  3.420	  2.847532	  2.731084	  2.406	  2.182	  2.274	       	      	  2.326000	 1.513295	 0.135887	 8.51249e-02	4	  1.408139	  1.430693	  1.445414	  1.460287	  1.482118	  1.482118	  1.486921	  1.498531	  1.501028	  1.506346	Simbad	01 53 04.90710	+29 34 43.7801
  0	* eps Cas                        	B3Vp_sh             	  3.200	  3.350	  3.440178	  3.705291	  3.864	  3.934	  3.963	  3.804	 3.546	  3.866000	 0.361558	 0.037668	 1.94383e-02	0	  0.350303	  0.351960	  0.353974	  0.355535	  0.357310	  0.358232	  0.358796	  0.360056	  0.360367	  0.360616	Simbad	01 54 23.72567	+63 40 12.3628
  0	* bet Ari                        	kA4hA5mA5Va         	  2.805	  2.640	  2.506728	  2.470417	  2.340	  2.351	  2.270	       	      	  2.447000	 1.237495	 0.102947	 2.21739e-02	6	  1.167027	  1.176529	  1.191068	  1.201734	  1.212600	  1.218678	  1.221296	  1.228582	  1.230773	  1.233053	Simbad	01 54 38.41099	+20 48 28.9133
  0	* ome Cas                        	B5III               	  4.886	  4.970	  4.969146	  5.139532	  5.137	  5.128	  5.133	  5.257	 5.025	  5.245000	 0.242478	 0.007757	 3.08888e-01	4	  0.234216	  0.235438	  0.236966	  0.238156	  0.239424	  0.240127	  0.240500	  0.241409	  0.241659	  0.241855	Simbad	01 56 00.02784	+68 41 06.8662
  0	HD11973                          	F0V                 	  5.080	  4.790	  4.510000	  4.350000	  4.568	  4.339	  4.354	  4.034	 3.789	  4.077000	 0.508017	 0.051572	 3.75735e-02	0	  0.475282	  0.481596	  0.486448	  0.491581	  0.498541	  0.498541	  0.499862	  0.503542	  0.504288	  0.505847	Simbad	01 57 55.71650	+23 35 45.8290
  0	* g Per                          	B8III               	  4.919	  4.990	  4.926278	  5.072649	  5.005	  5.061	  5.057	  5.136	 5.034	  5.181000	 0.291176	 0.008421	 5.12405e-01	0	  0.278780	  0.280600	  0.282856	  0.284712	  0.286615	  0.287663	  0.288248	  0.289589	  0.289998	  0.290404	Simbad	02 02 18.10869	+54 29 15.1488
  1	*  50 Cas                        	A2V                 	  3.948	  3.950	  3.861456	  3.969384	  3.885	  3.898	  3.921	  3.932	 3.561	  3.911000	 0.558035	 0.046508	 4.37706e-02	0	  0.528646	  0.532775	  0.538986	  0.543542	  0.547931	  0.550412	  0.551459	  0.554453	  0.555324	  0.556202	Simbad	02 03 26.10618	+72 25 16.6578
  0	HD12929                          	K1IIIb              	  3.161	  2.010	  1.160000	  0.540000	 -0.196	 -0.749	 -0.783	 -0.740	-0.500	 -0.467000	 7.620179	 0.565692	 8.12390e-02	0	  6.923512	  7.066080	  7.160642	  7.258810	  7.406702	  7.406702	  7.443117	  7.510999	  7.538952	  7.571694	Simbad	02 07 10.40570	+23 27 44.7030
  0	*  58 And                        	A5IV-V              	  4.900	  4.780	  4.548266	  4.678760	  4.619	  4.571	  4.425	  4.411	 4.200	  4.475000	 0.449955	 0.037106	 2.09568e-02	0	  0.423659	  0.427149	  0.432466	  0.436399	  0.440502	  0.442798	  0.443808	  0.446568	  0.447408	  0.448294	Simbad	02 08 29.25999	+37 51 32.6861
